var1,var2,pearson_corr
บริโภค_ปิ้งย่าง,สนใจ_อาหารอีสาน,-0.1737660411184224
บริโภค_เหล้าเบียร์,สนใจ_อาหารอีสาน,0.0038176162849501735
บริโภค_เสื้อผ้าแฟชั่น,สนใจ_อาหารอีสาน,0.2705216778327806
บริโภค_แต่งหน้า,สนใจ_อาหารอีสาน,-0.005181792961030396
บริโภค_skincare_บำรุงผิว,สนใจ_อาหารอีสาน,0.06858541838720435
บริโภค_การออกกำลังกาย,สนใจ_อาหารอีสาน,0.05667582244153746
บริโภค_การเล่นเกมส์,สนใจ_อาหารอีสาน,-0.16338002683677924
บริโภค_การท่องเที่ยว,สนใจ_อาหารอีสาน,0.1277903273903596
บริโภค_การอ่านหนังสือ,สนใจ_อาหารอีสาน,0.025336589841760484
บริโภค_การอ่านบทความ_Online,สนใจ_อาหารอีสาน,0.02366995058767497
บริโภค_การเรียน_e-learning,สนใจ_อาหารอีสาน,-0.054475608318313565
บริโภค_ดู_Series,สนใจ_อาหารอีสาน,-0.07698396769368375
บริโภค_ดูหนัง,สนใจ_อาหารอีสาน,0.07336805344174689
บริโภค_ดู_Youtube,สนใจ_อาหารอีสาน,0.03406727441814365
บริโภค_ดู_Netflix,สนใจ_อาหารอีสาน,-0.01115498491517863
บริโภค_Content_ด้านบันเทิง,สนใจ_อาหารอีสาน,0.017962218187162992
บริโภค_Content_เกี่่ยวกับเกมส์,สนใจ_อาหารอีสาน,-0.22726808742928353
บริโภค_Content_เกี่ยวกับการ_review_ร้านอาหาร,สนใจ_อาหารอีสาน,0.025552277872590578
บริโภค_Content_เกี่ยวกับการท่องเที่ยว,สนใจ_อาหารอีสาน,0.12839928178123566
บริโภค_Content_เกี่ยวกับการแต่งบ้าน,สนใจ_อาหารอีสาน,0.10353046982183928
บริโภค_Content_เกี่ยวกับการโทรทัศน์,สนใจ_อาหารอีสาน,0.17868755986063053
บริโภค_Content_เกี่ยวกับละคร,สนใจ_อาหารอีสาน,0.1868699865944436
บริโภค_Content_เกี่ยวกับการเมือง,สนใจ_อาหารอีสาน,0.3015755667585751
birth_year,สนใจ_อาหารอีสาน,0.04484579614061082
age,สนใจ_อาหารอีสาน,0.05505925582676655
สนใจ_อาหารญี่ปุ่น,สนใจ_อาหารสุขภาพ,-0.06507640385147417
สนใจ_อาหารจึน,สนใจ_อาหารสุขภาพ,0.18470770010792
สนใจ_อาหารไทย,สนใจ_อาหารสุขภาพ,0.13950378653318327
สนใจ_อาหารอีสาน,สนใจ_อาหารสุขภาพ,0.27263973046430845
สนใจ_อาหารสุขภาพ,สนใจ_อาหารสุขภาพ,1.0
สนใจ_บุฟเฟต์,สนใจ_อาหารสุขภาพ,-0.11433655477148594
สนใจ_ชาบูชาบู,สนใจ_อาหารสุขภาพ,-0.07121488393014146
สนใจ_ปิ้งย่าง,สนใจ_อาหารสุขภาพ,-0.23429304108281265
สนใจ_เหล้าเบียร์,สนใจ_อาหารสุขภาพ,-0.07823483529417881
สนใจ_เสื้อผ้าแฟชั่น,สนใจ_อาหารสุขภาพ,0.19134481022354316
สนใจ_แต่งหน้า,สนใจ_อาหารสุขภาพ,0.08896658592495008
สนใจ_skincare_บำรุงผิว,สนใจ_อาหารสุขภาพ,0.2669498866553298
สนใจ_การออกกำลังกาย,สนใจ_อาหารสุขภาพ,0.3569541789471055
สนใจ_การเล่นเกมส์,สนใจ_อาหารสุขภาพ,-0.12548833828510958
สนใจ_การท่องเที่ยว,สนใจ_อาหารสุขภาพ,0.098817424926025
สนใจ_การอ่านหนังสือ,สนใจ_อาหารสุขภาพ,0.2643686966040311
สนใจ_การอ่านบทความ_Online,สนใจ_อาหารสุขภาพ,0.23139118674333342
สนใจ_การเรียน_e-learning,สนใจ_อาหารสุขภาพ,0.308598233706101
สนใจ_ดู_Series,สนใจ_อาหารสุขภาพ,0.06140882272692313
สนใจ_ดูหนัง,สนใจ_อาหารสุขภาพ,-0.014170973447106244
สนใจ_ดู_Youtube,สนใจ_อาหารสุขภาพ,0.039121571776112835
สนใจ_ดู_Netflix,สนใจ_อาหารสุขภาพ,0.019481585985522305
